BLEU,ROUGE1,ROUGE2,ROUGEL,METEOR,GLEU,Repetition Rate,Flesch Reading Ease,CoSIM,BERT Score,Toxicity,Novelty,Diversity
0.7667,0.7067,0.7059,0.7067,0.7772,0.7865,0.2743,46.57,0.9459,0.756,0.0008,0.0122,0.7257
0.0773,0.3187,0.0941,0.1633,0.2845,0.1236,0.2696,50.97,0.5531,0.5544,0.3778,0.7024,0.7304
0.0004,0.0,0.0,0.0,0.0,0.0005,0.9862,13.836,0.0943,0.0097,0.0007,0.0119,0.0069
0.0025,0.1053,0.0,0.0929,0.0183,0.0401,0.785,22.8261,0.3237,0.2948,0.8127,0.1402,0.215
0.0184,0.2597,0.0262,0.1385,0.2013,0.0825,0.4583,39.71,0.4526,0.5336,0.0055,0.7308,0.5417
0.003,0.1491,0.0,0.1228,0.0248,0.0415,0.7734,15.6382,0.4313,0.4024,0.0004,0.1562,0.2266
0.0236,0.335,0.0597,0.1773,0.2554,0.1113,0.328,35.95,0.5625,0.5844,0.0066,0.7024,0.672
0.681,0.5968,0.5957,0.5968,0.6694,0.7097,0.328,35.95,0.8011,0.6509,0.0066,0.0595,0.672
0.0029,0.0676,0.0068,0.0541,0.0063,0.0194,0.914,8.0776,0.2591,0.3694,0.3677,0.0543,0.086
0.0027,0.1157,0.0,0.0925,0.0147,0.0379,0.8319,9.0117,0.2279,0.322,0.0366,0.0973,0.1681
0.001,0.035,0.0044,0.035,0.0042,0.0158,0.9563,3.5656,0.2082,0.348,0.3058,0.0316,0.0437
0.0017,0.0462,0.0,0.0462,0.0053,0.014,0.9562,3.6273,0.2749,0.34,0.2746,0.0292,0.0438
0.0009,0.0106,0.0,0.0106,0.0017,0.0069,0.9572,3.9594,0.2157,0.3225,0.401,0.0336,0.0428
0.0027,0.0556,0.0,0.0556,0.013,0.0265,0.8235,12.9486,0.2505,0.3516,0.0248,0.1176,0.1765
0.0915,0.3983,0.094,0.1949,0.3024,0.1491,0.3407,41.53,0.5286,0.6464,0.0043,0.6067,0.6593
0.002,0.1029,0.0,0.0812,0.0124,0.0339,0.8607,14.4144,0.1079,0.2895,0.0005,0.0656,0.1393
0.1274,0.3374,0.1076,0.1776,0.1503,0.1605,0.5089,78.65,0.633,0.5249,0.0009,0.2589,0.4911
0.0607,0.3885,0.067,0.2084,0.2765,0.1265,0.2991,37.68,0.606,0.6229,0.0051,0.6707,0.7009
0.0052,0.1163,0.0118,0.1047,0.0219,0.0303,0.8291,10.4688,0.2592,0.3583,0.0029,0.1197,0.1709
0.0023,0.0502,0.0,0.0502,0.0042,0.0199,0.9167,7.0818,0.3184,0.3045,0.0073,0.0606,0.0833
0.0683,0.2232,0.0866,0.1717,0.0463,0.0943,0.7687,16.5402,0.556,0.4577,0.0049,0.1119,0.2313
0.0102,0.3009,0.0347,0.1805,0.2361,0.1016,0.3252,36.25,0.3642,0.5609,0.0063,0.7229,0.6748
0.0058,0.0675,0.034,0.0675,0.0139,0.0436,0.9012,8.4653,0.2881,0.336,0.0191,0.0494,0.0988
0.0013,0.0161,0.0,0.0161,0.0039,0.0176,0.9433,4.51,0.088,0.3107,0.0202,0.0467,0.0567
0.0014,0.0343,0.0043,0.0214,0.0021,0.0097,0.9636,2.7172,0.4086,0.3999,0.8153,0.0182,0.0364
0.001,0.0055,0.0,0.0055,0.0005,0.0058,0.9803,1.5549,0.2293,0.3074,0.1417,0.0131,0.0197
0.0014,0.0079,0.0,0.0079,0.0006,0.0021,0.8571,8.7614,0.3423,0.2665,0.0359,0.1299,0.1429
0.0015,0.0283,0.0,0.0283,0.0031,0.0087,0.8571,8.7614,0.1911,0.1938,0.0359,0.1299,0.1429
0.0019,0.0711,0.004,0.0711,0.0039,0.0146,0.939,3.9166,0.3861,0.3567,0.0152,0.0407,0.061
0.0027,0.1043,0.0,0.1043,0.0129,0.0345,0.8333,10.6167,0.1682,0.3211,0.0039,0.1078,0.1667
0.0032,0.0983,0.0073,0.0873,0.0092,0.0406,0.9068,9.5238,0.3974,0.1974,0.0606,0.0254,0.0932
0.1878,0.3339,0.1552,0.2517,0.3659,0.2248,0.3778,42.75,0.5811,0.4706,0.0053,0.5119,0.6222
0.0012,0.0234,0.0,0.0234,0.0045,0.0175,0.8846,12.7907,0.048,0.1703,0.2183,0.0769,0.1154
0.0028,0.1739,0.0,0.1186,0.0194,0.0474,0.8148,15.0398,0.3034,0.4119,0.0251,0.1037,0.1852
0.0007,0.034,0.0,0.0288,0.0139,0.018,0.7283,20.2294,0.2139,0.1647,0.4721,0.1848,0.2717
0.0041,0.0593,0.01,0.0494,0.0111,0.0295,0.8257,16.6605,0.1173,0.2566,0.5554,0.1193,0.1743
0.0023,0.0397,0.0,0.0312,0.0075,0.0276,0.8762,12.1249,0.3727,0.1609,0.0135,0.0476,0.1238
0.001,0.0291,0.0,0.0291,0.0008,0.0087,0.9828,1.7241,0.2193,0.2958,0.0051,0.0086,0.0172
0.0011,0.0191,0.0,0.0191,0.0004,0.0045,0.9552,0.0,0.4558,0.349,0.0019,0.0269,0.0448
0.0,0.0,0.0,0.0,0.0,0.0,0.9459,0.0,0.0886,0.0291,0.0308,0.027,0.0541
0.0011,0.0507,0.0,0.0429,0.0018,0.0149,0.966,2.5195,0.1727,0.35,0.0004,0.0142,0.034
0.0011,0.0585,0.0,0.0585,0.0009,0.006,0.9722,2.4876,0.18,0.3151,0.1642,0.0198,0.0278
0.002,0.1112,0.0,0.0845,0.0108,0.0423,0.8976,3.9953,0.1976,0.2959,0.0337,0.0683,0.1024
0.0007,0.0109,0.0,0.0109,0.0006,0.0064,0.9863,1.5883,0.147,0.3588,0.366,0.0059,0.0137
0.0016,0.0374,0.0,0.0299,0.0007,0.013,0.9836,1.7595,0.1055,0.2965,0.0415,0.0023,0.0164
0.0024,0.0958,0.0,0.0799,0.0115,0.0318,0.873,13.0435,0.3616,0.3901,0.0294,0.0873,0.127
0.0012,0.0406,0.0,0.0369,0.0057,0.0165,0.9134,8.9041,0.3204,0.2232,0.0024,0.0551,0.0866
0.0025,0.1135,0.0,0.1135,0.0127,0.0271,0.8651,9.0514,0.5415,0.3551,0.0241,0.0952,0.1349
0.0017,0.0484,0.0,0.0447,0.001,0.013,0.9803,1.4855,0.4435,0.3101,0.0738,0.0074,0.0197
0.0046,0.0606,0.0068,0.0606,0.0086,0.033,0.8861,10.0376,0.3278,0.1961,0.4003,0.0127,0.1139
0.0016,0.0412,0.0038,0.03,0.0022,0.0129,0.9603,4.294,0.1254,0.3531,0.0092,0.0234,0.0397
0.0009,0.0414,0.0,0.0414,0.0018,0.0112,0.9727,2.7322,0.0814,0.3119,0.1357,0.0174,0.0273
0.0017,0.0967,0.0,0.0829,0.0134,0.0344,0.84,13.3426,0.2897,0.2787,0.1896,0.08,0.16
0.005,0.0744,0.0094,0.0744,0.0089,0.035,0.8846,10.2022,0.2445,0.3337,0.1607,0.0692,0.1154
0.0013,0.0243,0.0,0.0243,0.0008,0.0136,0.9784,1.1396,0.2152,0.336,0.9741,0.0144,0.0216
0.0012,0.0179,0.0,0.0179,0.0012,0.0098,0.9752,1.3407,0.206,0.3188,0.9688,0.0177,0.0248
0.0113,0.1868,0.0348,0.0761,0.1956,0.077,0.3,64.71,0.607,0.3102,0.1663,0.5833,0.7
0.226,0.3721,0.1924,0.2904,0.339,0.2434,0.3305,37.27,0.6465,0.6348,0.0067,0.5696,0.6695
0.0014,0.0551,0.0,0.0478,0.0114,0.0293,0.8487,16.0377,0.4445,0.2416,0.0101,0.0756,0.1513
0.0025,0.0356,0.0,0.0356,0.0036,0.0228,0.9323,6.7227,0.1016,0.3204,0.0009,0.0451,0.0677
0.0042,0.0684,0.0043,0.0641,0.0024,0.0185,0.966,2.5195,0.1273,0.3565,0.0004,0.0142,0.034
0.0011,0.0362,0.0,0.0362,0.0006,0.006,0.9722,2.4876,0.1472,0.3503,0.1642,0.0159,0.0278
0.0019,0.0458,0.0,0.0458,0.004,0.0252,0.9333,4.788,0.1347,0.2483,0.0239,0.037,0.0667
0.0035,0.0689,0.0058,0.0689,0.0065,0.0275,0.9,6.755,0.2574,0.3028,0.0115,0.0583,0.1
0.0013,0.0211,0.0035,0.0106,0.004,0.0168,0.8984,12.7451,0.18,0.2124,0.0005,0.0547,0.1016
0.0043,0.1249,0.0063,0.1062,0.0143,0.0413,0.855,11.433,0.2686,0.3555,0.0008,0.0763,0.145
0.0014,0.0985,0.0,0.0729,0.0163,0.0391,0.8125,11.6121,0.4121,0.1918,0.0049,0.0938,0.1875
0.0177,0.2528,0.0372,0.1264,0.2191,0.1032,0.3305,37.27,0.232,0.4101,0.0045,0.6203,0.6695
0.0239,0.1979,0.0319,0.0871,0.1855,0.0766,0.3308,48.33,0.4345,0.3612,0.0049,0.6322,0.6692
0.0095,0.3017,0.0297,0.1693,0.25,0.0967,0.2941,37.27,0.4535,0.5233,0.0047,0.6905,0.7059
0.0025,0.0774,0.0031,0.0619,0.0139,0.0309,0.8374,13.3917,0.5039,0.2296,0.002,0.0976,0.1626
0.0022,0.0811,0.0,0.0811,0.0133,0.0279,0.8374,13.3917,0.4572,0.3433,0.002,0.0976,0.1626
0.0018,0.1436,0.0,0.0914,0.0162,0.0378,0.875,11.0075,0.4654,0.2737,0.0004,0.0556,0.125
0.0021,0.1109,0.0,0.1109,0.0087,0.0386,0.9098,10.2804,0.1097,0.2803,0.0626,0.0246,0.0902
0.0011,0.0241,0.0,0.0241,0.0052,0.0164,0.875,12.5,0.0069,0.1806,0.0154,0.0833,0.125
0.0016,0.017,0.0,0.017,0.0073,0.0163,0.8193,22.4138,0.0,0.1693,0.0126,0.1325,0.1807
0.0035,0.1144,0.0108,0.0787,0.0202,0.0477,0.8103,18.113,0.4072,0.2192,0.0082,0.0948,0.1897
0.0028,0.1019,0.0,0.0833,0.0121,0.0281,0.8492,12.4342,0.2343,0.3947,0.001,0.1032,0.1508
0.0136,0.09,0.0105,0.0693,0.0262,0.0508,0.7355,24.8426,0.3938,0.2196,0.0007,0.157,0.2645
0.0051,0.0999,0.0168,0.0721,0.0183,0.0387,0.8182,18.5841,0.3181,0.3306,0.0004,0.0833,0.1818
0.0016,0.0699,0.0,0.0699,0.01,0.0278,0.8525,9.1149,0.2888,0.2511,0.0973,0.0984,0.1475
0.0064,0.1609,0.0259,0.1287,0.0253,0.0495,0.8189,17.7368,0.4162,0.3691,0.1593,0.0945,0.1811
0.0017,0.0613,0.0,0.0525,0.0069,0.0288,0.9008,8.3359,0.2857,0.2517,0.0005,0.0458,0.0992
0.0023,0.085,0.0,0.085,0.0053,0.0241,0.9231,7.8261,0.3068,0.3577,0.0016,0.0308,0.0769
0.001,0.0375,0.0,0.026,0.0085,0.0269,0.8571,17.6471,0.5042,0.1535,0.0009,0.0476,0.1429
0.0029,0.115,0.0,0.1061,0.0124,0.0324,0.8545,11.8285,0.21,0.2996,0.0004,0.1,0.1455
0.0349,0.295,0.0424,0.1358,0.2609,0.1074,0.4839,37.47,0.3173,0.4337,0.006,0.5375,0.5161
0.0597,0.3673,0.0722,0.2347,0.2673,0.1134,0.392,43.06,0.4678,0.6199,0.0045,0.7105,0.608
0.0067,0.1306,0.0208,0.0825,0.0285,0.0434,0.7455,19.1439,0.4968,0.2352,0.0004,0.1364,0.2545
0.0067,0.1122,0.0206,0.0816,0.0254,0.0433,0.7607,21.32,0.6716,0.4251,0.0005,0.1709,0.2393
0.0057,0.0563,0.0071,0.0528,0.0158,0.0358,0.8333,18.8119,0.4709,0.2191,0.0004,0.0702,0.1667
0.0006,0.0083,0.0,0.0083,0.0007,0.0044,0.9804,1.5789,0.2161,0.3107,0.0041,0.0137,0.0196
0.0112,0.1654,0.0256,0.0827,0.2008,0.0763,0.2793,38.69,0.1681,0.2885,0.0048,0.5875,0.7207
0.0053,0.2429,0.0327,0.1619,0.0902,0.0496,0.6062,15.8754,0.2938,0.4866,0.0048,0.2953,0.3938
