BLEU,ROUGE1,ROUGE2,ROUGEL,METEOR,GLEU,Repetition Rate,Flesch Reading Ease,CoSIM,BERT Score,Toxicity,Novelty,Diversity
0.1828,0.503,0.2622,0.3576,0.4896,0.2074,0.494,52.19,0.7502,0.7075,0.0021,0.5512,0.506
0.3925,0.656,0.4558,0.416,0.617,0.4078,0.4462,58.11,0.8646,0.7534,0.0011,0.3813,0.5538
0.1506,0.5217,0.1748,0.2813,0.1658,0.2134,0.5777,53.71,0.711,0.647,0.0004,0.1833,0.4223
0.3382,0.5984,0.3902,0.3881,0.504,0.3517,0.498,66.27,0.7305,0.7495,0.0014,0.4286,0.502
0.0809,0.4581,0.1404,0.2346,0.3793,0.1297,0.4921,62.48,0.779,0.6706,0.0005,0.6434,0.5079
0.3344,0.6062,0.3645,0.4153,0.497,0.3616,0.4418,59.94,0.8266,0.7268,0.0099,0.4532,0.5582
0.1361,0.4134,0.1957,0.2857,0.2095,0.1663,0.5444,53.1,0.713,0.6551,0.005,0.25,0.4556
0.1839,0.4625,0.2453,0.3188,0.5642,0.2032,0.452,57.4,0.703,0.716,0.0059,0.5547,0.548
0.0748,0.4464,0.1257,0.256,0.1947,0.1307,0.5119,51.48,0.7314,0.6495,0.0005,0.3016,0.4881
0.2615,0.5864,0.3,0.3822,0.502,0.2937,0.4609,60.04,0.8282,0.7331,0.0014,0.471,0.5391
0.4749,0.6838,0.5903,0.5584,0.6675,0.4802,0.4752,60.75,0.8405,0.7948,0.0066,0.2913,0.5248
0.5135,0.6997,0.6094,0.6281,0.3118,0.5161,0.532,53.61,0.9152,0.759,0.0106,0.104,0.468
0.3746,0.6103,0.4124,0.4256,0.5325,0.3868,0.4343,61.67,0.8317,0.7626,0.0024,0.4507,0.5657
0.224,0.5473,0.2499,0.2985,0.4063,0.2794,0.4524,49.96,0.7868,0.7054,0.0142,0.471,0.5476
0.227,0.5612,0.2718,0.3061,0.2164,0.2683,0.5197,68.6,0.8688,0.7056,0.0027,0.2165,0.4803
0.1968,0.5253,0.2484,0.3544,0.5183,0.2181,0.496,62.38,0.7411,0.7407,0.0009,0.52,0.504
0.2029,0.5754,0.2528,0.3128,0.4921,0.2455,0.44,66.88,0.8553,0.7254,0.0046,0.5,0.56
0.2483,0.5203,0.2779,0.2439,0.4811,0.2735,0.5,62.07,0.7666,0.6893,0.0008,0.4921,0.5
0.3354,0.5928,0.3782,0.3763,0.542,0.3525,0.498,59.74,0.8676,0.7104,0.7452,0.416,0.502
0.1366,0.4526,0.1908,0.2446,0.2042,0.1684,0.5282,62.38,0.7545,0.6946,0.0009,0.2782,0.4718
0.1855,0.4606,0.2111,0.2915,0.5011,0.2106,0.4512,58.01,0.6175,0.676,0.0011,0.637,0.5488
0.1514,0.4295,0.1871,0.2372,0.4557,0.1784,0.4661,63.19,0.6454,0.6849,0.0009,0.6418,0.5339
0.1795,0.497,0.2048,0.2994,0.2151,0.2098,0.5519,60.55,0.6537,0.6145,0.3918,0.2199,0.4481
0.1555,0.5549,0.2267,0.2775,0.468,0.1968,0.4274,38.76,0.6968,0.7245,0.0041,0.5915,0.5726
0.2182,0.5361,0.2727,0.3434,0.5273,0.2454,0.4677,52.39,0.7993,0.7055,0.0037,0.5606,0.5323
0.2412,0.5437,0.3019,0.3625,0.489,0.26,0.477,58.01,0.7453,0.7308,0.0004,0.504,0.523
0.2363,0.5251,0.2865,0.3464,0.4635,0.2574,0.4921,49.15,0.734,0.7012,0.0051,0.4961,0.5079
0.2918,0.5732,0.3558,0.4207,0.5864,0.3032,0.4226,63.9,0.7013,0.7409,0.0092,0.5362,0.5774
0.1522,0.4926,0.2269,0.2493,0.2444,0.1866,0.5198,60.04,0.7752,0.6798,0.0086,0.2619,0.4802
0.0551,0.3355,0.1192,0.2237,0.3937,0.1078,0.4841,63.43,0.6101,0.6432,0.0005,0.6846,0.5159
0.1217,0.4566,0.1197,0.2581,0.3469,0.1784,0.4024,43.53,0.7384,0.6609,0.0008,0.6533,0.5976
0.1258,0.4874,0.1465,0.2185,0.3531,0.1818,0.4626,59.74,0.6629,0.6382,0.0057,0.541,0.5374
0.1948,0.4356,0.2716,0.2699,0.2315,0.213,0.5608,61.46,0.5387,0.6731,0.0034,0.2196,0.4392
0.0717,0.4326,0.1017,0.2303,0.3546,0.1332,0.498,53.1,0.5954,0.6395,0.0005,0.6378,0.502
0.1233,0.4772,0.1979,0.2947,0.4128,0.1655,0.4722,54.66,0.742,0.6745,0.0004,0.5439,0.5278
0.1801,0.4898,0.1994,0.2974,0.4366,0.2081,0.3909,58.62,0.7109,0.6747,0.0073,0.6081,0.6091
0.2525,0.5344,0.2936,0.3747,0.4726,0.2813,0.4694,49.65,0.8787,0.7395,0.0098,0.5,0.5306
0.193,0.5261,0.2333,0.3365,0.4113,0.2475,0.4822,57.71,0.8228,0.7063,0.0005,0.4885,0.5178
0.1366,0.4571,0.1917,0.2349,0.2383,0.166,0.512,68.6,0.4803,0.6658,0.0004,0.292,0.488
0.2521,0.5815,0.262,0.3108,0.4765,0.2926,0.4462,57.91,0.9019,0.6993,0.0069,0.482,0.5538
0.3294,0.631,0.4032,0.4171,0.6202,0.3497,0.4104,57.91,0.8751,0.7578,0.0062,0.4392,0.5896
0.2949,0.6117,0.3317,0.3544,0.49,0.3304,0.4549,57.61,0.8554,0.7507,0.0083,0.4532,0.5451
0.0633,0.2905,0.1156,0.1959,0.3404,0.0911,0.437,54.66,0.8059,0.6684,0.001,0.7832,0.563
0.1857,0.5745,0.2398,0.2981,0.4876,0.2366,0.4606,60.04,0.7589,0.6875,0.0115,0.5328,0.5394
0.1338,0.477,0.1635,0.2493,0.4121,0.1769,0.4506,51.07,0.9047,0.6726,0.0008,0.6187,0.5494
0.2234,0.5632,0.2717,0.3621,0.233,0.2525,0.5458,58.01,0.8657,0.725,0.0011,0.1992,0.4542
0.2901,0.5632,0.2878,0.3294,0.464,0.3161,0.4466,51.18,0.6775,0.6856,0.0005,0.5,0.5534
0.284,0.5897,0.3041,0.3846,0.5266,0.3126,0.4263,49.86,0.8336,0.7388,0.0363,0.4722,0.5737
0.3749,0.6613,0.4397,0.432,0.5725,0.3949,0.4859,55.68,0.9153,0.7939,0.0078,0.3438,0.5141
0.3427,0.6335,0.3632,0.3979,0.2184,0.3697,0.5141,51.07,0.8146,0.7619,0.0014,0.1566,0.4859
0.0376,0.3533,0.0573,0.1766,0.2846,0.1014,0.5,57.61,0.7304,0.6396,0.0058,0.6774,0.5
0.2798,0.5496,0.3476,0.3343,0.5471,0.302,0.494,57.81,0.6418,0.7157,0.0044,0.4683,0.506
